,Portfolio,Returns,Withdraw,Withdraw Orig
0,923531.0000000000000000000000,,76469.0000000000000000000000,0.076469000000000000000
1,1043656.425610290256983991863,0.2128725788417392128515359668,76469.0000000000000000000000,0.076469000000000000000
2,883173.3286539017292214206043,-0.08329091339188267328896841952,73556.0000000000000000000000,0.073556000000000000000
3,820224.5760679277397249301227,0.006329728528539745567582653053,68539.0000000000000000000000,0.068539000000000000000
4,1008295.879965892128094896907,0.3128537127333196887768451692,68539.0000000000000000000000,0.068539000000000000000
5,1228020.656873959714342506066,0.2858920507716631309591548415,68539.0000000000000000000000,0.068539000000000000000
6,1073614.332063222608354598031,-0.06992335538501472103067868603,68539.0000000000000000000000,0.068539000000000000000
7,1104856.305664446216044741602,0.09293930848470430272634246194,68539.0000000000000000000000,0.068539000000000000000
8,1095416.711334551229407422628,0.05349058096252923971691828341,68539.0000000000000000000000,0.068539000000000000000
9,932312.6089401938096600302060,-0.08632797127875502241067806636,68539.0000000000000000000000,0.068539000000000000000
10,827732.7294336457816180730310,-0.03865750517684995307687856334,68539.0000000000000000000000,0.068539000000000000000
11,873472.8042079649915247012439,0.1380627716056505860375835940,68539.0000000000000000000000,0.068539000000000000000
12,757471.0861716289730998393214,-0.05696882352445686165109961503,66241.0000000000000000000000,0.066241000000000000000
13,644476.3703347822703049107202,-0.07420971818336860592602022274,56783.0000000000000000000000,0.056783000000000000000
14,746075.8120078005484577367294,0.2457536830880925893261235159,56783.0000000000000000000000,0.056783000000000000000
15,617575.1472673919404789441283,-0.09805258870883183652811254665,55346.0000000000000000000000,0.055346000000000000000
16,538866.6764618440112520885591,-0.04849202714529176477809002680,48761.0000000000000000000000,0.048761000000000000000
17,613691.6483581591724078193459,0.2293442465356567983025826149,48761.0000000000000000000000,0.048761000000000000000
18,607284.8054359619627670522403,0.06901537146727521054856424614,48761.0000000000000000000000,0.048761000000000000000
19,672342.0855522962239095504492,0.1874215839051424636885201380,48761.0000000000000000000000,0.048761000000000000000
